IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,latitude,longitude,FactValueNumeric,Value,Language
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,BEN,Benin,Year,2019,TRUE,9.3077,2.3158,11.82,11.8,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,TRUE,12.2383,-1.5616,2.75,2.7,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2019,TRUE,6.6111,20.9394,0.78,0.8,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,COG,Congo,Year,2019,TRUE,-0.228,15.8277,7.39,7.4,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,GHA,Ghana,Year,2019,TRUE,7.9465,-1.0232,4.47,4.5,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,LSO,Lesotho,Year,2019,TRUE,-29.61,28.2336,4.69,4.7,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,MLI,Mali,Year,2019,TRUE,17.5707,-3.9962,1.16,1.2,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2019,TRUE,-18.6657,35.5296,8.59,8.6,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,MRT,Mauritania,Year,2019,TRUE,21.0079,-10.9408,2.82,2.8,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,MUS,Mauritius,Year,2019,TRUE,-20.3484,57.5522,0.32,0.3,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,NGA,Nigeria,Year,2019,TRUE,9.082,8.6753,1.79,1.8,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,TRUE,14.4974,-14.4524,0.91,0.9,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,TRUE,8.4606,-11.7799,3.68,3.7,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,TGO,Togo,Year,2019,TRUE,8.6195,0.8248,1.58,1.6,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2019,TRUE,-6.369,34.8888,3.68,3.7,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,UGA,Uganda,Year,2019,TRUE,1.3733,32.2903,6.55,6.6,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,ZAF,South Africa,Year,2019,TRUE,-30.5595,22.9375,1.38,1.4,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,TRUE,-19.0154,29.1549,9.00,9.0,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,BRA,Brazil,Year,2019,TRUE,-14.235,-51.9253,1.37,1.4,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,CAN,Canada,Year,2019,TRUE,56.1304,-106.3468,0.09,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,COL,Colombia,Year,2019,TRUE,4.5709,-74.2973,0.96,1.0,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2019,TRUE,9.7489,-83.7534,0.76,0.8,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,ECU,Ecuador,Year,2019,TRUE,-1.8312,-78.1834,0.99,1.0,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2019,TRUE,17.3578,-62.783,0.16,0.2,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,MEX,Mexico,Year,2019,TRUE,23.6345,-102.5528,0.48,0.5,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,PER,Peru,Year,2019,TRUE,-9.19,-75.0152,0.72,0.7,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2019,TRUE,10.6918,-61.2225,0.12,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,AMR,Americas,Country,USA,United States of America,Year,2019,TRUE,37.0902,-95.7129,0.11,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2019,TRUE,26.8206,30.8025,1.09,1.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,TRUE,30.5852,36.2384,2.05,2.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2019,TRUE,33.8547,35.8623,0.52,0.5,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,ALB,Albania,Year,2019,TRUE,41.1533,20.1683,0.54,0.5,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,AUT,Austria,Year,2019,TRUE,47.5162,14.5501,0.19,0.2,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,BEL,Belgium,Year,2019,TRUE,50.5039,4.4699,0.17,0.2,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2019,TRUE,42.7339,25.4858,0.77,0.8,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2019,TRUE,46.8182,8.2275,0.08,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,CYP,Cyprus,Year,2019,TRUE,35.1264,33.4299,0.36,0.4,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,CZE,Czechia,Year,2019,TRUE,49.8175,15.473,0.16,0.2,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,DEU,Germany,Year,2019,TRUE,51.1657,10.4515,0.12,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,DNK,Denmark,Year,2019,TRUE,56.2639,9.5018,0.15,0.2,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,ESP,Spain,Year,2019,TRUE,40.4637,-3.7492,0.28,0.3,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,EST,Estonia,Year,2019,TRUE,58.5953,25.0136,0.19,0.2,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,FIN,Finland,Year,2019,TRUE,61.9241,25.7482,0.09,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,FRA,France,Year,2019,TRUE,46.6034,1.8883,0.09,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,TRUE,55.3781,-3.436,0.08,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,GRC,Greece,Year,2019,TRUE,39.0742,21.8243,0.49,0.5,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,HRV,Croatia,Year,2019,TRUE,45.1,15.2,0.54,0.5,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,IRL,Ireland,Year,2019,TRUE,53.1424,-7.6921,0.16,0.2,EN
