Record_ID,Culture,Protein
3,Often,44.62
7,Always,0
8,Often,16.32
11,Always,8.84
16,Often,20.5
17,Often,9.71
18,Sometimes,2.24
19,Always,13.44
23,Often,23.67
24,Sometimes,35.01
25,Often,25.31
27,Often,43.9
30,Always,18.19
35,Always,53.08
38,Always,11.8
39,Often,20.72
40,Often,1.25
49,Sometimes,5.11
50,Sometimes,31.14
53,Sometimes,9.02
56,Often,17.21
58,Sometimes,9.59
59,Often,13.96
60,Always,19.84
61,Often,10.69
65,Always,22.45
66,Sometimes,15.58
69,Always,13.05
70,Sometimes,27.24
71,Rarely,15.55
71,Rarely,67.17
82,Always,9.4
83,Often,7.14
86,Often,18.03
87,Often,40.93
88,Often,10.37
93,Often,37.39
95,Always,14.1
99,Always,12.32
100,Always,20.93
102,Often,17.53
104,Often,27.23
107,Always,19.22
109,Always,23.57
110,Always,15.48
115,Often,23.31
117,Sometimes,58.32
119,Often,13.61
121,Sometimes,7.05
123,Often,17.36
124,Always,38.1
130,Often,24.76
131,Always,28.3
134,Always,4.71
135,Sometimes,39.4
136,Often,33.51
137,Always,16.81
140,Often,3.6
141,Often,13.16
142,Often,4.6
143,Sometimes,42.71
144,Always,78.92
147,Always,11.73
148,Always,8.24
151,Always,51.18
154,Sometimes,15.98
155,Always,15.91
157,Often,20.7
158,Often,0
161,Always,10.94
162,Always,25.15
164,Often,122.34
166,Sometimes,9.61
169,Often,5.08
170,Often,4.59
174,Sometimes,14.4
175,Sometimes,31.66
176,Always,13.67
178,Sometimes,33.62
185,Sometimes,18.94
186,Sometimes,31.12
187,Always,18.79
191,Sometimes,1.14
194,Never,16.46
197,Sometimes,9.7
200,Always,8.44
201,Often,19.08
202,Always,28.13
205,Always,26.72
208,Always,21.14
209,Always,17.39
210,Always,13.53
213,Often,12.79
214,Always,6.33
215,Sometimes,30.61
225,Always,22.39
227,Always,137.42
230,Often,15.31
231,Always,57.81
232,Always,25.05
235,Always,12.49
236,Rarely,14.06
237,Always,25.08
239,Rarely,12.9
241,Always,20.18
245,Sometimes,42.92
247,Often,25.75
249,Often,17.74
250,Often,5.39
256,Rarely,2.39
258,Often,16.13
261,Rarely,8.2
262,Often,22.01
265,Rarely,14.46
266,Always,16.53
267,Often,35.67
270,Always,44.32
271,Always,14.33
274,Often,35.33
276,Always,5.36
279,Always,6.05
283,Always,0.28
285,Often,4.63
286,Sometimes,12.37
288,Sometimes,29.99
289,Always,25.67
290,Always,2.33
291,Often,29.42
293,Sometimes,1.04
294,Sometimes,13.5
295,Always,14.79
297,Sometimes,57.74
298,Rarely,32.65
299,Always,30.28
301,Sometimes,7.07
305,Often,2.93
306,Often,9.9
308,Always,14.67
310,Often,6.36
312,Sometimes,38.64
313,Rarely,22
314,Often,3.49
316,Always,20.55
317,Often,20.27
320,Often,11.04
324,Always,11.46
326,Often,13.28
330,Often,5.51
331,Often,9.48
336,Often,15.39
337,Always,33.89
338,Always,14.85
339,Often,47.77
340,Rarely,32.98
341,Often,4.87
343,Sometimes,21.53
345,Often,9.7
347,Always,38.88
348,Often,51.74
350,Often,248.23
353,Always,9.95
356,Often,2.86
357,Always,8.52
358,Sometimes,13.3
359,Often,12.19
361,Often,36.76
363,Often,18.05
367,Often,14.1
369,Often,23.94
371,Always,6.84
374,Always,10.16
375,Often,2.84
377,Often,8.98
378,Often,60.09
381,Often,9.95
382,Often,17.45
384,Always,17.82
386,Always,48.96
387,Often,19.9
388,Often,0.7
390,Sometimes,0.95
391,Often,18.53
393,Sometimes,24.52
394,Sometimes,20.9
397,Often,18.72
398,Always,23.34
400,Often,17.82
404,Often,13.19
406,Always,11.22
409,Sometimes,0.97
410,Often,14.22
412,Often,32.45
413,Sometimes,12
416,Sometimes,11.08
417,Often,20.49
418,Always,27.45
420,Often,27.21
421,Always,25.01
423,Always,1.76
424,Often,28.09
425,Often,21.44
427,Always,20.6
428,Often,24.97
429,Sometimes,12.66
433,Sometimes,14.69
435,Always,26.74
437,Always,19.93
443,Often,28.52
445,Always,15.22
446,Often,20.06
447,Always,13.21
449,Always,15.01
450,Rarely,9.76
451,Often,57.67
452,Often,66.05
454,Often,28.25
455,Often,10.12
457,Always,15.79
460,Sometimes,10.61
461,Always,17.11
463,Often,22.88
464,Sometimes,10.33
466,Often,7.51
469,Often,6.25
471,Sometimes,6.29
472,Always,19.66
473,Rarely,17.98
474,Rarely,29.44
475,Often,24.26
482,Always,7.52
